0,2,1,0.32099,0.29036,0.27269,0.27092,0.29007,0.33424,0.40315,0.4673,0.512,0.53772,0.55017,0.5364,0.45863,0.29347,0.38414,0.5004,0.63686,0.76384,0.78588,0.75121,0.70059,0.62314,0.53656,0.46558,0.41581,0.39196,0.38136,0.38725,0.42141,0.50505
1,2,1,0.29036,0.27269,0.27092,0.29007,0.33424,0.40315,0.4673,0.512,0.53772,0.55017,0.5364,0.45863,0.29347,0.38414,0.5004,0.63686,0.76384,0.78588,0.75121,0.70059,0.62314,0.53656,0.46558,0.41581,0.39196,0.38136,0.38725,0.42141,0.50505,0.65524
2,2,1,0.27269,0.27092,0.29007,0.33424,0.40315,0.4673,0.512,0.53772,0.55017,0.5364,0.45863,0.29347,0.38414,0.5004,0.63686,0.76384,0.78588,0.75121,0.70059,0.62314,0.53656,0.46558,0.41581,0.39196,0.38136,0.38725,0.42141,0.50505,0.65524,0.71759
3,2,1,0.27092,0.29007,0.33424,0.40315,0.4673,0.512,0.53772,0.55017,0.5364,0.45863,0.29347,0.38414,0.5004,0.63686,0.76384,0.78588,0.75121,0.70059,0.62314,0.53656,0.46558,0.41581,0.39196,0.38136,0.38725,0.42141,0.50505,0.65524,0.71759,0.60645
4,2,1,0.29007,0.33424,0.40315,0.4673,0.512,0.53772,0.55017,0.5364,0.45863,0.29347,0.38414,0.5004,0.63686,0.76384,0.78588,0.75121,0.70059,0.62314,0.53656,0.46558,0.41581,0.39196,0.38136,0.38725,0.42141,0.50505,0.65524,0.71759,0.60645,0.56319
5,2,1,0.33424,0.40315,0.4673,0.512,0.53772,0.55017,0.5364,0.45863,0.29347,0.38414,0.5004,0.63686,0.76384,0.78588,0.75121,0.70059,0.62314,0.53656,0.46558,0.41581,0.39196,0.38136,0.38725,0.42141,0.50505,0.65524,0.71759,0.60645,0.56319,0.37362
6,2,1,0.40315,0.4673,0.512,0.53772,0.55017,0.5364,0.45863,0.29347,0.38414,0.5004,0.63686,0.76384,0.78588,0.75121,0.70059,0.62314,0.53656,0.46558,0.41581,0.39196,0.38136,0.38725,0.42141,0.50505,0.65524,0.71759,0.60645,0.56319,0.37362,0.56936
7,2,1,0.4673,0.512,0.53772,0.55017,0.5364,0.45863,0.29347,0.38414,0.5004,0.63686,0.76384,0.78588,0.75121,0.70059,0.62314,0.53656,0.46558,0.41581,0.39196,0.38136,0.38725,0.42141,0.50505,0.65524,0.71759,0.60645,0.56319,0.37362,0.56936,0.5597
8,2,1,0.512,0.53772,0.55017,0.5364,0.45863,0.29347,0.38414,0.5004,0.63686,0.76384,0.78588,0.75121,0.70059,0.62314,0.53656,0.46558,0.41581,0.39196,0.38136,0.38725,0.42141,0.50505,0.65524,0.71759,0.60645,0.56319,0.37362,0.56936,0.5597,0.62904
9,2,1,0.53772,0.55017,0.5364,0.45863,0.29347,0.38414,0.5004,0.63686,0.76384,0.78588,0.75121,0.70059,0.62314,0.53656,0.46558,0.41581,0.39196,0.38136,0.38725,0.42141,0.50505,0.65524,0.71759,0.60645,0.56319,0.37362,0.56936,0.5597,0.62904,0.5759
10,2,1,0.55017,0.5364,0.45863,0.29347,0.38414,0.5004,0.63686,0.76384,0.78588,0.75121,0.70059,0.62314,0.53656,0.46558,0.41581,0.39196,0.38136,0.38725,0.42141,0.50505,0.65524,0.71759,0.60645,0.56319,0.37362,0.56936,0.5597,0.62904,0.5759,0.65734
11,2,1,0.5364,0.45863,0.29347,0.38414,0.5004,0.63686,0.76384,0.78588,0.75121,0.70059,0.62314,0.53656,0.46558,0.41581,0.39196,0.38136,0.38725,0.42141,0.50505,0.65524,0.71759,0.60645,0.56319,0.37362,0.56936,0.5597,0.62904,0.5759,0.65734,0.78863
