0,2,1,0.21136,0.18416,0.15981,0.14895,0.14472,0.16289,0.21754,0.31173,0.32613,0.33848,0.33505,0.34511,0.3027,0.2931,0.28829,0.30235,0.61168,0.84671,0.76063,0.68587,0.62529,0.5016,0.35528,0.2588,0.32933,0.29504,0.25263,0.242,0.2532,0.35208
1,2,1,0.18416,0.15981,0.14895,0.14472,0.16289,0.21754,0.31173,0.32613,0.33848,0.33505,0.34511,0.3027,0.2931,0.28829,0.30235,0.61168,0.84671,0.76063,0.68587,0.62529,0.5016,0.35528,0.2588,0.32933,0.29504,0.25263,0.242,0.2532,0.35208,0.55727
2,2,1,0.15981,0.14895,0.14472,0.16289,0.21754,0.31173,0.32613,0.33848,0.33505,0.34511,0.3027,0.2931,0.28829,0.30235,0.61168,0.84671,0.76063,0.68587,0.62529,0.5016,0.35528,0.2588,0.32933,0.29504,0.25263,0.242,0.2532,0.35208,0.55727,0.87757
3,2,1,0.14895,0.14472,0.16289,0.21754,0.31173,0.32613,0.33848,0.33505,0.34511,0.3027,0.2931,0.28829,0.30235,0.61168,0.84671,0.76063,0.68587,0.62529,0.5016,0.35528,0.2588,0.32933,0.29504,0.25263,0.242,0.2532,0.35208,0.55727,0.87757,0.88283
4,2,1,0.14472,0.16289,0.21754,0.31173,0.32613,0.33848,0.33505,0.34511,0.3027,0.2931,0.28829,0.30235,0.61168,0.84671,0.76063,0.68587,0.62529,0.5016,0.35528,0.2588,0.32933,0.29504,0.25263,0.242,0.2532,0.35208,0.55727,0.87757,0.88283,0.91255
5,2,1,0.16289,0.21754,0.31173,0.32613,0.33848,0.33505,0.34511,0.3027,0.2931,0.28829,0.30235,0.61168,0.84671,0.76063,0.68587,0.62529,0.5016,0.35528,0.2588,0.32933,0.29504,0.25263,0.242,0.2532,0.35208,0.55727,0.87757,0.88283,0.91255,0.95919
6,2,1,0.21754,0.31173,0.32613,0.33848,0.33505,0.34511,0.3027,0.2931,0.28829,0.30235,0.61168,0.84671,0.76063,0.68587,0.62529,0.5016,0.35528,0.2588,0.32933,0.29504,0.25263,0.242,0.2532,0.35208,0.55727,0.87757,0.88283,0.91255,0.95919,0.93564
7,2,1,0.31173,0.32613,0.33848,0.33505,0.34511,0.3027,0.2931,0.28829,0.30235,0.61168,0.84671,0.76063,0.68587,0.62529,0.5016,0.35528,0.2588,0.32933,0.29504,0.25263,0.242,0.2532,0.35208,0.55727,0.87757,0.88283,0.91255,0.95919,0.93564,0.90855
8,2,1,0.32613,0.33848,0.33505,0.34511,0.3027,0.2931,0.28829,0.30235,0.61168,0.84671,0.76063,0.68587,0.62529,0.5016,0.35528,0.2588,0.32933,0.29504,0.25263,0.242,0.2532,0.35208,0.55727,0.87757,0.88283,0.91255,0.95919,0.93564,0.90855,0.8171
9,2,1,0.33848,0.33505,0.34511,0.3027,0.2931,0.28829,0.30235,0.61168,0.84671,0.76063,0.68587,0.62529,0.5016,0.35528,0.2588,0.32933,0.29504,0.25263,0.242,0.2532,0.35208,0.55727,0.87757,0.88283,0.91255,0.95919,0.93564,0.90855,0.8171,0.78281
10,2,1,0.33505,0.34511,0.3027,0.2931,0.28829,0.30235,0.61168,0.84671,0.76063,0.68587,0.62529,0.5016,0.35528,0.2588,0.32933,0.29504,0.25263,0.242,0.2532,0.35208,0.55727,0.87757,0.88283,0.91255,0.95919,0.93564,0.90855,0.8171,0.78281,0.88569
11,2,1,0.34511,0.3027,0.2931,0.28829,0.30235,0.61168,0.84671,0.76063,0.68587,0.62529,0.5016,0.35528,0.2588,0.32933,0.29504,0.25263,0.242,0.2532,0.35208,0.55727,0.87757,0.88283,0.91255,0.95919,0.93564,0.90855,0.8171,0.78281,0.88569,1
